Juego Número,Estado,Ganancias,Pérdidas
412,PERDEDOR,412,111
413,PERDEDOR,210,108
414,PERDEDOR,26,120
415,PERDEDOR,90,141
416,PERDEDOR,488,101
417,PERDEDOR,290,134
418,PERDEDOR,74,142
419,PERDEDOR,256,100
420,GANADOR,528,31
421,PERDEDOR,180,123
422,GANADOR,622,38
423,PERDEDOR,10,109
424,PERDEDOR,160,112
425,GANADOR,634,79
426,PERDEDOR,0,100
427,PERDEDOR,74,113
428,PERDEDOR,28,104
429,GANADOR,516,78
430,PERDEDOR,326,121
431,PERDEDOR,382,170
432,PERDEDOR,80,168
433,PERDEDOR,268,168
434,PERDEDOR,4,103
435,PERDEDOR,62,144
436,PERDEDOR,386,104
437,PERDEDOR,66,121
438,PERDEDOR,48,100
439,PERDEDOR,16,114
440,PERDEDOR,446,118
441,PERDEDOR,56,154
442,GANADOR,536,29
443,PERDEDOR,138,153
444,PERDEDOR,140,133
445,PERDEDOR,466,119
446,PERDEDOR,12,109
447,PERDEDOR,0,100
448,PERDEDOR,8,102
449,GANADOR,504,69
450,PERDEDOR,412,131
451,PERDEDOR,230,151
452,PERDEDOR,294,118
453,PERDEDOR,112,139
454,PERDEDOR,360,106
455,GANADOR,542,69
456,PERDEDOR,42,103
457,PERDEDOR,42,140
458,PERDEDOR,172,139
459,PERDEDOR,112,135
460,PERDEDOR,264,144
461,PERDEDOR,12,112
462,PERDEDOR,92,136
463,PERDEDOR,348,110
464,PERDEDOR,16,108
465,PERDEDOR,0,100
466,PERDEDOR,20,101
467,PERDEDOR,244,146
468,PERDEDOR,78,177
469,PERDEDOR,10,105
470,GANADOR,550,8
471,PERDEDOR,218,105
472,PERDEDOR,270,112
473,PERDEDOR,0,100
474,PERDEDOR,432,185
475,PERDEDOR,200,113
476,PERDEDOR,0,100
477,GANADOR,558,67
478,PERDEDOR,460,105
479,PERDEDOR,26,106
480,PERDEDOR,178,166
481,PERDEDOR,324,134
482,PERDEDOR,252,184
483,GANADOR,548,88
484,PERDEDOR,214,136
485,PERDEDOR,144,179
486,PERDEDOR,96,130
487,PERDEDOR,224,114
488,PERDEDOR,150,132
489,PERDEDOR,126,101
490,PERDEDOR,214,154
491,PERDEDOR,354,139
492,PERDEDOR,102,135
493,PERDEDOR,264,118
494,PERDEDOR,88,109
495,PERDEDOR,440,165
496,PERDEDOR,20,119
497,PERDEDOR,44,108
498,PERDEDOR,0,100
499,GANADOR,584,72
500,PERDEDOR,446,155
